,id,title,description,microcat_id,item_price,real_weight,real_height,real_length,real_width,uploaded_at,path,mean_weight,std_weight,mean_height,std_height,mean_length,std_length,mean_width,std_width
0,1,ps3 cechc 08 скальпировать henполностью исправный,"комплект приставка, проводазарядка, питание, hdmi работать тихо игра 51дб замереть смартфона. хабанера psn.быть квитанция сц проведение скальпирование. hen 4.90. второй фото пол час игра гта 5 покупка запустить поиграть привод порядок настроить продать",265,13000.0,8.50536466338769,21.78852094188521,28.07851195487504,18.363008413414896,2025-12-15 12:15:26.051478,"Электроника / Игры, приставки и программы / Игровые приставки и аксессуары",1.9796018704767457,1.8378053116354558,13.812467679914187,7.063067166059219,29.975836154014694,12.871779908198217,22.570009088262903,9.643215770314747
1,2,nintendo wii u док станция,"товар полностью рабочий. оригинал. планшетагеймпада. dock station наличие 1 шт мочь отправить авить доставка boxberry, почта россии, сдэк exmail отправлять игра смотреть профиле.",265,1249.0,0.8706765541930539,18.7840873892534,20.92953462497463,17.812596430413354,2025-12-15 12:15:26.051478,"Электроника / Игры, приставки и программы / Игровые приставки и аксессуары",1.9796018704767457,1.8378053116354558,13.812467679914187,7.063067166059219,29.975836154014694,12.871779908198217,22.570009088262903,9.643215770314747
2,3,задний стоп сигнал дэо нексия 2006,"задний стоп сигнал дэо нексия 2006 года, норма состоянип зп писать лс",265,5000.0,2.841879364634808,18.1052196956388,32.68161228160058,20.673966983547945,2025-12-15 12:15:26.051478,"Электроника / Игры, приставки и программы / Игровые приставки и аксессуары",1.9796018704767457,1.8378053116354558,13.812467679914187,7.063067166059219,29.975836154014694,12.871779908198217,22.570009088262903,9.643215770314747
3,4,xbox one s 1tb 2 геймпада,"продавать xbox one s 1tb два джостик состояние хороший , приставка вскрывалась, коробка приставка нет. белый джостик небольшой дефект игра ввести стик , подарок покупка мочь отдать новый стик поставить чёрный джостик дефектов. согласный обменять приставка хороший пк мой доплатой. звонок 1500 2100",265,16000.0,4.127473597331171,28.50814110733081,35.40347779184586,26.588900989778526,2025-12-15 12:15:26.051478,"Электроника / Игры, приставки и программы / Игровые приставки и аксессуары",1.9796018704767457,1.8378053116354558,13.812467679914187,7.063067166059219,29.975836154014694,12.871779908198217,22.570009088262903,9.643215770314747
4,5,свитер трикотаж 44 р-р reserved,свитер pullbear пул энд бир 44 размер надеть примерный размер ширина 45 смотреть длина 62 смотреть длина рукав 55 смотреть отправить авито-доставка сдек заглядывать профиль - разный вещь символический цена,104,300.0,0.183936685637111,11.765352757764177,20.59173288063544,12.159432995900634,2025-12-15 12:15:26.051478,"Личные вещи / Одежда, обувь, аксессуары / Джемперы, свитеры, кардиганы",0.9135934374943265,0.8285042869416592,8.966194738968095,5.993980018806902,30.62547972012886,11.645067458873397,22.663543758414313,8.952432461398924
5,6,укоротить свитшота лонгслить топ кофта,свитшота укорочить лонгслить белый полоска продавать носить носить торг уместный,104,400.0,0.1,6.143458857506138,29.73979238460099,22.498335267097488,2025-12-15 12:15:26.051478,"Личные вещи / Одежда, обувь, аксессуары / Джемперы, свитеры, кардиганы",0.9135934374943265,0.8285042869416592,8.966194738968095,5.993980018806902,30.62547972012886,11.645067458873397,22.663543758414313,8.952432461398924
6,7,блузка 56-58-60 размер,тонкий трикотаж модель летучий мышь. хороший качества. рыхлый вязка . розовый одетый 1 серый бирка удачный модель скрывать недостаток . мерка запрос 950 серый доставка,104,950.0,0.5219649778129035,8.004717207221754,34.985521701144584,11.263373613854132,2025-12-15 12:15:26.051478,"Личные вещи / Одежда, обувь, аксессуары / Джемперы, свитеры, кардиганы",0.9135934374943265,0.8285042869416592,8.966194738968095,5.993980018806902,30.62547972012886,11.645067458873397,22.663543758414313,8.952432461398924
7,8,блуза betty barklay,"новый трикотажный кофточка блузка betty barklay германия 94вискоза, 6эластан приталенная, сбоку молния длина 55см",104,1300.0,0.8165157491450108,7.604752174111279,21.31093602409559,10.017287830541054,2025-12-15 12:15:26.051478,"Личные вещи / Одежда, обувь, аксессуары / Джемперы, свитеры, кардиганы",0.9135934374943265,0.8285042869416592,8.966194738968095,5.993980018806902,30.62547972012886,11.645067458873397,22.663543758414313,8.952432461398924
8,9,водолазка новый размер 72-74,"новый водолазка цвет капучиный длинный рукав размер 72-74. удобный ворот, плотный трикотаж, тянется. длина 70 смотреть полуобхват грудь 72 смотреть полуобхват бедро 75 см. классический одежда времена.",104,970.0,1.4484113632282467,13.013985496821029,7.810087365708959,19.410622675273533,2025-12-15 12:15:26.051478,"Личные вещи / Одежда, обувь, аксессуары / Джемперы, свитеры, кардиганы",0.9135934374943265,0.8285042869416592,8.966194738968095,5.993980018806902,30.62547972012886,11.645067458873397,22.663543758414313,8.952432461398924
9,10,свитер 100 кашемир,"продать свитер 100 кашемира. мягкий приятный телу, отличный состояние след носки.",104,850.0,0.3478157570230776,1.0,43.26289694713561,24.08177308434957,2025-12-15 12:15:26.051478,"Личные вещи / Одежда, обувь, аксессуары / Джемперы, свитеры, кардиганы",0.9135934374943265,0.8285042869416592,8.966194738968095,5.993980018806902,30.62547972012886,11.645067458873397,22.663543758414313,8.952432461398924
